States/UTs,Crimes,Year,Persons_arrested_male,Persons_arrested_female,Persons_arrested_total
Andhra Pradesh,Murder (Section 302 IPC),2014,2111,223,2334
Andhra Pradesh,Attempt to commit Murder (Section 307 IPC),2014,2578,97,2675
Andhra Pradesh,Culpable Homicide not amounting to Murder (Section 304 IPC),2014,94,7,101
Andhra Pradesh,Attempt to commit Culpable Homicide (Section 308 IPC),2014,4,0,4
Andhra Pradesh,Rape (Section 376 IPC),2014,1191,46,1237
Andhra Pradesh,Custodial Rape,2014,0,0,0
Andhra Pradesh,Gang Rape,2014,0,0,0
Andhra Pradesh,Other Rape,2014,0,0,0
Andhra Pradesh,Rape other than Custodial,2014,1191,46,1237
Andhra Pradesh,Gang Rape,2014,24,0,24
Andhra Pradesh,Other Rape,2014,1167,46,1213
Andhra Pradesh,Attempt to commit Rape (Section 376/511 IPC),2014,173,0,173
Andhra Pradesh,"Kidnapping & Abduction_Total (Section 3,364,364A, 366-369 IPC)",2014,1419,79,1498
Andhra Pradesh,Kidnapping & Abduction (Section 363 IPC),2014,415,29,444
Andhra Pradesh,Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,9,0,9
Andhra Pradesh,Kidnapping for Ransom (Section 364A IPC),2014,13,0,13
Andhra Pradesh,Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,436,19,455
Andhra Pradesh,Other Kidnapping,2014,546,31,577
Andhra Pradesh,"Dacoity (Section 395,396-398 IPC)",2014,325,1,326
Andhra Pradesh,Dacoity with Murder (Section 396 IPC),2014,6,0,6
Andhra Pradesh,Other Dacoity,2014,319,1,320
Andhra Pradesh,Making Preparation and Assembly for committing Dacoity (Section 399 & 402 IPC),2014,8,0,8
Andhra Pradesh,"Robbery (Section 392 to 394, 397 and 398 IPC)",2014,631,10,641
Andhra Pradesh,Criminal Trespass/Burglary_Total (Section 453 to 460 IPC),2014,5409,70,5479
Andhra Pradesh,"Criminal Trespass/Burglary (Section 455, 457 & 458 IPC)",2014,4009,46,4055
Andhra Pradesh,"House Trespass & House Breaking (Section 453,454,456,459 & 460 IPC)",2014,1400,24,1424
Andhra Pradesh,Theft (Section 379 to 382 IPC),2014,13438,348,13786
Andhra Pradesh,Auto Theft,2014,3697,39,3736
Andhra Pradesh,Other Thefts,2014,9741,309,10050
Andhra Pradesh,"Unlawful Assembly (Section 143,144 & 145)",2014,272,16,288
Andhra Pradesh,"Riots (Section 147, 148, 149, 150 & 151 IPC)",2014,6596,275,6871
Andhra Pradesh,Communal,2014,181,5,186
Andhra Pradesh,Industrial,2014,31,0,31
Andhra Pradesh,Political,2014,1950,40,1990
Andhra Pradesh,Caste Conflict,2014,55,0,55
Andhra Pradesh,SC/STs Vs. Non-SCs/STs,2014,55,0,55
Andhra Pradesh,Other Caste Riots,2014,0,0,0
Andhra Pradesh,Agrarian,2014,0,0,0
Andhra Pradesh,Students,2014,0,0,0
Andhra Pradesh,Sectarian,2014,0,0,0
Andhra Pradesh,Other Riots,2014,4379,230,4609
Andhra Pradesh,Criminal Breach of Trust (Section 406 to 409 IPC),2014,1117,51,1168
Andhra Pradesh,Cheating (Section 420 IPC),2014,6725,304,7029
Andhra Pradesh,"Forgery (Section 465, 468 & 471 IPC)",2014,188,11,199
Andhra Pradesh,"Counterfeiting (Section 231-235,237-240, 242-243, 255 and 489-A to 489-E IPC)",2014,146,0,146
Andhra Pradesh,"Offences related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2014,6,0,6
